"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Row.names.y","X","Chr","Start","End","Strand","Length","chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","len","tssstart","tssend","bodystart","bodyend","controlgenes","controlgenes18","controlgenes19","controlgenes20","controlgenes21","controlgenes21shuffle","V2"
"8744","NM_003343",2018.10513367921,0.751977144334744,0.150630610973995,4.99219341588256,5.96974279051859e-07,2.69886790017466e-05,"NM_003343",68850,"chr21;chr21;chr21;chr21;chr21;chr21","44768580;44773547;44777299;44787920;44788060;44801706","44771489;44773687;44777417;44787965;44788095;44801820","-;-;-;-;-;-",3367,"chr21",44768579,44801820,"NM_003343",0,"-",44771376,44801748,0,6,"2910,141,119,46,36,115,","0,4967,8719,19340,19480,33126,",33241,44801320,44802320,44769079,44800820,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"UBE2G2"
"8775","NM_003405",1039.84341881151,0.516945016203538,0.213408281734536,2.42232874939023,0.0154213923836568,0.118582279874876,"NM_003405",69883,"chr22;chr22","31944535;31956139","31944820;31957603","+;+",1751,"chr22",31944534,31957603,"NM_003405",0,"+",31944733,31956792,0,2,"286,1465,","0,11604,",13069,31944034,31945034,31945534,31957103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"YWHAH"
"8781","NM_003426",140.686349534017,0.0334987991071293,0.24167852941765,0.138608916513387,0.889759196972449,0.964577906688937,"NM_003426",69470,"chr22;chr22;chr22;chr22;chr22","20394151;20395333;20400632;20401277;20405377","20394662;20395418;20400758;20401372;20408455","+;+;+;+;+",3900,"chr22",20394150,20408455,"NM_003426",0,"+",20394628,20406968,0,5,"512,86,127,96,3079,","0,1182,6481,7126,11226,",14305,20393650,20394650,20395150,20407955,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ZNF74"
"8803","NM_003489",2718.03842358863,-0.134346120197912,0.301340305943298,-0.445828578348864,0.655721076611013,0.881245757105842,"NM_003489",68477,"chr21;chr21;chr21;chr21","14961235;15014344;15043495;15064745","14968526;15014466;15043574;15065000","-;-;-;-",7751,"chr21",14961234,15065000,"NM_003489",0,"-",14964715,14968192,0,4,"7292,123,80,256,","0,53109,82260,103510,",103766,15064500,15065500,14961734,15064000,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"NRIP1"
"8808","NM_003504",504.118307164566,0.27599448437086,0.26821544906581,1.02900293526023,0.303478295555242,0.667304015901427,"NM_003504",69425,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","19479826;19480158;19480953;19482690;19483862;19494327;19495981;19497386;19499101;19505362;19507386;19507766;19508530;19514749;19514965;19516527;19516817;19518844;19520481","19480019;19480217;19481045;19482827;19484005;19494382;19496029;19497447;19499151;19505481;19507517;19507864;19508691;19514887;19515048;19516645;19516893;19518909;19520612","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",1977,"chr22",19479825,19520612,"NM_003504",0,"+",19479968,19518908,0,19,"194,60,93,138,144,56,49,62,51,120,132,99,162,139,84,119,77,66,132,","0,332,1127,2864,4036,14501,16155,17560,19275,25536,27560,27940,28704,34923,35139,36701,36991,39018,40655,",40787,19479325,19480325,19480825,19520112,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"CDC45"
"8852","NM_003634",1785.42399137142,0.131617599143151,0.189206992768259,0.695627562266456,0.486662100569216,0.803462512399889,"NM_003634",69739,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","29554809;29558870;29560734;29561171;29561506;29561792;29569193;29570162;29570405;29580985","29555999;29558953;29560828;29561202;29561646;29561862;29569287;29570207;29570532;29581113","-;-;-;-;-;-;-;-;-;-",2012,"chr22",29554808,29581113,"NM_003634",0,"-",29555934,29581082,0,10,"1191,84,95,32,141,71,95,46,128,129,","0,4061,5925,6362,6697,6983,14384,15353,15596,26176,",26305,29580613,29581613,29555308,29580113,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"NIPSNAP1"
"8865","NM_003661",643.303999542747,0.738558762581296,0.274058604710218,2.69489353695801,0.0070411124462779,0.0675778481397748,"NM_003661",69946,"chr22;chr22;chr22;chr22;chr22;chr22","36253133;36254937;36257083;36257319;36261596;36265151","36253219;36254999;36257136;36257407;36261722;36267525","+;+;+;+;+;+",2795,"chr22",36253132,36267525,"NM_003661",0,"+",36254955,36266033,0,6,"87,63,54,89,127,2375,","0,1804,3950,4186,8463,12018,",14393,36252632,36253632,36254132,36267025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"APOL1"
"8871","NM_003678",833.663356969971,0.00150314423862426,0.190106086634852,0.00790687065959878,0.99369129571174,0.997772656343174,"NM_003678",69737,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","29505879;29511106;29512021;29517029;29517263;29519006;29520008;29520998;29525838;29528078;29528426;29529162;29531831;29536624;29539330;29542859;29543429;29544460;29549052;29553671","29508520;29511296;29512136;29517116;29517366;29519120;29520104;29521099;29525946;29528177;29528466;29529239;29531963;29536738;29539476;29542956;29543542;29544603;29549158;29553757","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",4728,"chr22",29505878,29553757,"NM_003678",0,"-",29508456,29549147,0,20,"2642,191,116,88,104,115,97,102,109,100,41,78,133,115,147,98,114,144,107,87,","0,5227,6142,11150,11384,13127,14129,15119,19959,22199,22547,23283,25952,30745,33451,36980,37550,38581,43173,47792,",47879,29553257,29554257,29506378,29552757,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"THOC5"
"8874","NM_003681",2667.20386006669,0.63292164669542,0.202578409858898,3.1243292270695,0.00178210934809005,0.0231046358345414,"NM_003681",68805,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","43719129;43734069;43741667;43743724;43746079;43748995;43750500;43752518;43753583;43755698;43755951","43719381;43734123;43741771;43743807;43746125;43749080;43750545;43752629;43753719;43755764;43762299","+;+;+;+;+;+;+;+;+;+;+",7341,"chr21",43719128,43762299,"NM_003681",0,"+",43719294,43756063,0,11,"253,55,105,84,47,86,46,112,137,67,6349,","0,14940,22538,24595,26950,29866,31371,33389,34454,36569,36822,",43171,43718628,43719628,43720128,43761799,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"PDXK"
"8875","NM_003683",940.131927567733,0.56333935041283,0.191347761483021,2.94406031221231,0.00323936865739941,0.0371601861698818,"NM_003683",68807,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","43789577;43791350;43792672;43793319;43795189;43797422;43797631;43797907;43799570;43800517;43800862;43802274;43803512","43789762;43791432;43792729;43793404;43795250;43797551;43797695;43798100;43799649;43800614;43800881;43802387;43805278","+;+;+;+;+;+;+;+;+;+;+;+;+",2943,"chr21",43789576,43805278,"NM_003683",0,"+",43789629,43803774,0,13,"186,83,58,86,62,130,65,194,80,98,20,114,1767,","0,1773,3095,3742,5612,7845,8054,8330,9993,10940,11285,12697,13935,",15702,43789076,43790076,43790576,43804778,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"RRP1"
"8897","NM_003753",5489.77155651022,0.14040391763478,0.207851790146376,0.675500160647658,0.49935804934186,0.810152885012595,"NM_003753",69949,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","36510855;36511503;36512460;36516478;36516705;36517301;36518763;36519405;36520576;36523209;36523895;36524596;36525664;36525999;36529076","36511000;36511786;36512602;36516607;36516790;36517431;36518910;36519537;36520688;36523281;36523980;36524732;36525709;36526131;36529166","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",1880,"chr22",36510854,36529166,"NM_003753",0,"-",36510986,36526121,0,15,"146,284,143,130,86,131,148,133,113,73,86,137,46,133,91,","0,648,1605,5623,5850,6446,7908,8550,9721,12354,13040,13741,14809,15144,18221,",18312,36528666,36529666,36511354,36528166,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"EIF3D"
"8976","NM_003906",4085.62650688745,0.525571161698004,0.169658135154018,3.09782470036513,0.00194946706456821,0.0248056296972224,"NM_003906",68348,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","46235133;46236829;46240811;46242802;46243465;46244807;46246307;46246628;46251529;46254392;46254776;46256789;46258939;46260793;46261280;46264117;46265321;46265925;46266982;46270401;46272561;46273388;46275186;46277527;46279993;46280497;46283615;46284068","46235426;46236979;46241017;46242931;46243722;46245197;46246404;46246886;46251682;46254526;46254844;46256986;46259091;46260906;46261411;46264217;46265523;46266166;46267142;46270563;46272829;46273585;46275325;46277717;46280137;46280575;46283838;46285611","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",6403,"chr21",46235132,46285611,"NM_003906",0,"-",46235267,46285286,0,28,"294,151,207,130,258,391,98,259,154,135,69,198,153,114,132,101,203,242,161,163,269,198,140,191,145,79,224,1544,","0,1696,5678,7669,8332,9674,11174,11495,16396,19259,19643,21656,23806,25660,26147,28984,30188,30792,31849,35268,37428,38255,40053,42394,44860,45364,48482,48935,",50479,46285111,46286111,46235632,46284611,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"MCM3AP"
"9026","NM_004076",1.62179763489227,1.59129575619449,1.88843751656557,0.842652056123372,0.399423068278792,NA,"NM_004076",69669,"chr22;chr22;chr22;chr22;chr22;chr22","25199858;25201377;25202674;25203763;25205220;25207047","25199909;25201471;25202792;25203895;25205362;25207359","+;+;+;+;+;+",855,"chr22",25199857,25207359,"NM_004076",0,"+",25201396,25207212,0,6,"52,95,119,133,143,313,","0,1519,2816,3905,5362,7189,",7502,25199357,25200357,25200857,25206859,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"CRYBB3"
"9054","NM_004147",1231.84952170541,0.0863865173794136,0.163712323118557,0.527672662227475,0.59772655070061,0.860154578803398,"NM_004147",69865,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","31399604;31400620;31403029;31411012;31420256;31423280;31426615;31427060;31433872","31399725;31400743;31403204;31411081;31420425;31423410;31426782;31427182;31434452","+;+;+;+;+;+;+;+;+",1665,"chr22",31399603,31434452,"NM_004147",0,"+",31399683,31433971,0,9,"122,124,176,70,170,131,168,123,581,","0,1016,3425,11408,20652,23676,27011,27456,34268,",34849,31399103,31400103,31400603,31433952,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"DRG1"
"9062","NM_004173",0.790428760681019,-2.13631045173287,2.64959486415299,-0.806278152420784,0.420082484851654,NA,"NM_004173",69485,"chr22;chr22;chr22;chr22;chr22","21028718;21029336;21029711;21030831;21032531","21029230;21029444;21030351;21031852;21032561","-;-;-;-;-",2316,"chr22",21028717,21032561,"NM_004173",0,"-",21029054,21031812,0,5,"513,109,641,1022,31,","0,618,993,2113,3813,",3844,21032061,21033061,21029217,21031561,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SLC7A4"
"9064","NM_004175",1198.37431577852,0.38421996279969,0.184866902529621,2.07835993107597,0.0376762203316128,0.218103022125639,"NM_004175",69653,"chr22;chr22;chr22;chr22","24555999;24557657;24567984;24571916","24556071;24557800;24568176;24574971","+;+;+;+",3466,"chr22",24555998,24574971,"NM_004175",0,"+",24557674,24571977,0,4,"73,144,193,3056,","0,1658,11985,15917,",18973,24555498,24556498,24556998,24574471,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SNRPD3"
"9110","NM_004286",2395.16953240916,0.129039194524684,0.188283202557596,0.685346290969373,0.49312542733441,0.807266645129975,"NM_004286",70062,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","38705944;38708845;38715907;38716652;38721742;38724297;38726006;38726258;38727213;38727983;38729462;38730612","38706147;38708956;38716087;38717000;38721865;38724411;38726150;38726440;38727348;38728161;38729662;38733587","+;+;+;+;+;+;+;+;+;+;+;+",4905,"chr22",38705943,38733587,"NM_004286",0,"+",38705955,38730704,0,12,"204,112,181,349,124,115,145,183,136,179,201,2976,","0,2901,9963,10708,15798,18353,20062,20314,21269,22039,23518,24668,",27644,38705443,38706443,38706943,38733087,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"GTPBP1"
"9130","NM_004339",1877.4216784144,0.478252816242671,0.20200539333031,2.36752498712079,0.01790751077041,0.131521931237554,"NM_004339",68862,"chr21;chr21;chr21;chr21;chr21;chr21","44849598;44855210;44856193;44861163;44865395;44873502","44851627;44855256;44856364;44861271;44865447;44873690","-;-;-;-;-;-",2600,"chr21",44849597,44873690,"NM_004339",0,"-",44851580,44873616,0,6,"2030,47,172,109,53,189,","0,5612,6595,11565,15797,23904,",24093,44873190,44874190,44850097,44872690,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"PTTG1IP"
"9159","NM_004414",383.036499672544,0.390470658574051,0.205979778846232,1.89567471506776,0.0580030707818384,0.284746952720274,"NM_004414",68035,"chr21;chr21;chr21;chr21","34516443;34521499;34523537;34614760","34518256;34521658;34523710;34615113","-;-;-;-",2502,"chr21",34516442,34615113,"NM_004414",0,"-",34518083,34615011,0,4,"1814,160,174,354,","0,5056,7094,98317,",98671,34614613,34615613,34516942,34614113,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"RCAN1"
"9331","NM_004782",458.974207140852,-0.0328611433870467,0.21379135819859,-0.153706602848381,0.877841078336255,0.961173566910218,"NM_004782",69481,"chr22;chr22;chr22;chr22;chr22","20859007;20870337;20881049;20883471;20887679","20859347;20870533;20881134;20883569;20891213","+;+;+;+;+",4258,"chr22",20859006,20891213,"NM_004782",0,"+",20859110,20887836,0,5,"341,197,86,99,3535,","0,11330,22042,24464,28672,",32207,20858506,20859506,20860006,20890713,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SNAP29"
"9377","NM_004900",232.590350759666,-0.130127639945484,0.22855171081582,-0.569357540492656,0.569113525136528,0.8471893868624,"NM_004900",70070,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","38982347;38984075;38985812;38986298;38989457;38991332;38992034;38992431","38982470;38984231;38986091;38986412;38989610;38991626;38992149;38992779","+;+;+;+;+;+;+;+",1590,"chr22",38982346,38992779,"NM_004900",0,"+",38982453,38992445,0,8,"124,157,280,115,154,295,116,349,","0,1728,3465,3951,7110,8985,9687,10084,",10433,38981846,38982846,38983346,38992279,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"APOBEC3B"
"9402","NM_004965",2441.02574784926,0.615623386706136,0.126844497098243,4.8533708658195,1.21380390958334e-06,5.06642953646134e-05,"NM_004965",68721,"chr21;chr21;chr21;chr21;chr21;chr21","39342315;39345146;39348292;39348422;39348545;39348903","39343159;39345274;39348339;39348451;39348577;39349088","-;-;-;-;-;-",1271,"chr21",39342314,39349088,"NM_004965",0,"-",39343111,39348917,0,6,"845,129,48,30,33,186,","0,2831,5977,6107,6230,6588,",6774,39348588,39349588,39342814,39348088,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"HMGN1"
"9441","NM_005049",176.27268041984,1.83233776412412,0.453284881483188,4.04235358154577,5.29173561656453e-05,0.00128765566669737,"NM_005049",68375,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5130871;5133426;5133655;5133902;5135089;5135935;5137327;5139698;5140953;5141277;5141559;5142532;5143222;5144091;5146137;5146658;5147289;5147779;5148210;5152961;5154623;44107399;44108984;44113753;44114179;44114625;44115264;44115691;44117820;44118763;44119387;44120348;44120631;44120952;44122177;44124580;44126011;44126900;44127932;44128247;44128552;44130597","5131455;5133500;5133805;5134120;5135154;5136043;5137474;5139878;5141103;5141424;5141707;5142668;5143292;5144234;5146366;5146793;5147432;5147878;5148304;5153073;5154658;44107434;44109096;44113847;44114278;44114768;44115399;44115920;44117963;44118833;44119523;44120496;44120778;44121102;44122357;44124727;44126119;44126965;44128150;44128397;44128626;44131181","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",6376,"chr21",5130870,5154658,"NM_005049",0,"-",5131280,5154640,0,21,"585,75,151,219,66,109,148,181,151,148,149,137,71,144,230,136,144,100,95,113,36,","0,2555,2784,3031,4218,5064,6456,8827,10082,10406,10688,11661,12351,13220,15266,15787,16418,16908,17339,22090,23752,",23788,5154158,5155158,5131370,5153658,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"PWP2"
"9442","NM_005049",176.27268041984,1.83233776412412,0.453284881483188,4.04235358154577,5.29173561656453e-05,0.00128765566669737,"NM_005049",68375,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5130871;5133426;5133655;5133902;5135089;5135935;5137327;5139698;5140953;5141277;5141559;5142532;5143222;5144091;5146137;5146658;5147289;5147779;5148210;5152961;5154623;44107399;44108984;44113753;44114179;44114625;44115264;44115691;44117820;44118763;44119387;44120348;44120631;44120952;44122177;44124580;44126011;44126900;44127932;44128247;44128552;44130597","5131455;5133500;5133805;5134120;5135154;5136043;5137474;5139878;5141103;5141424;5141707;5142668;5143292;5144234;5146366;5146793;5147432;5147878;5148304;5153073;5154658;44107434;44109096;44113847;44114278;44114768;44115399;44115920;44117963;44118833;44119523;44120496;44120778;44121102;44122357;44124727;44126119;44126965;44128150;44128397;44128626;44131181","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",6376,"chr21",5130870,5154658,"NM_005049",0,"-",5131280,5154640,0,21,"585,75,151,219,66,109,148,181,151,148,149,137,71,144,230,136,144,100,95,113,36,","0,2555,2784,3031,4218,5064,6456,8827,10082,10406,10688,11661,12351,13220,15266,15787,16418,16908,17339,22090,23752,",23788,5154158,5155158,5131370,5153658,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"PWP2"
"9503","NM_005207",2682.60350665927,0.0405453752492122,0.215960410587707,0.187744481217059,0.851076959259357,0.951682887574198,"NM_005207",69483,"chr22;chr22;chr22","20917407;20933779;20949711","20918245;20934244;20953747","+;+;+",5342,"chr22",20917406,20953747,"NM_005207",0,"+",20917934,20949845,0,3,"839,466,4037,","0,16372,32304,",36341,20916906,20917906,20918406,20953247,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"CRKL"
"9552","NM_005297",0.539297948861686,-1.42568147636566,3.63760755793568,-0.391928335769879,0.695111165621667,NA,"NM_005297",70145,"chr22;chr22","40679178;40680949","40679734;40682814","+;+",2423,"chr22",40679177,40682814,"NM_005297",0,"+",40679445,40681928,0,2,"557,1866,","0,1771,",3637,40678677,40679677,40680177,40682314,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"MCHR1"
"9592","NM_005423",0.703663021916623,0.19011191654592,2.77138218129008,0.068598231535653,0.94530942658277,NA,"NM_005423",68779,"chr21;chr21;chr21;chr21","42346358;42347486;42349881;42350879","42346546;42347632;42350030;42350994","-;-;-;-",602,"chr21",42346357,42350994,"NM_005423",0,"-",42346532,42350957,0,4,"189,147,150,116,","0,1128,3523,4521,",4637,42350494,42351494,42346857,42349994,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"TFF2"
"9604","NM_005441",489.931088154224,0.607961258541075,0.203195622924511,2.99199977731282,0.00277156465271126,0.0327748209948597,"NM_005441",68683,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","36385392;36386060;36387598;36391551;36394547;36397415;36399521;36402758;36408761;36409374;36411463;36412884;36415295;36416275","36385451;36386262;36387730;36391668;36394650;36397511;36399605;36402851;36408830;36409465;36411604;36413315;36415389;36419015","+;+;+;+;+;+;+;+;+;+;+;+;+;+",4466,"chr21",36385391,36419015,"NM_005441",0,"+",36386136,36416366,0,14,"60,203,133,118,104,97,85,94,70,92,142,432,95,2741,","0,668,2206,6159,9155,12023,14129,17366,23369,23982,26071,27492,29903,30883,",33624,36384891,36385891,36386391,36418515,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"CHAF1B"
"9653","NM_005534",3249.31174917619,0.901396487537323,0.203208796797616,4.43581430401884,9.17248929827457e-06,0.000296882316769298,"NM_005534",68169,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21_GL383581v2_alt;chr21_GL383581v2_alt;chr21_GL383581v2_alt;chr21_GL383581v2_alt;chr21_GL383581v2_alt;chr21_GL383581v2_alt","33402896;33414888;33421480;33426884;33432177;33432714;33436828;9451;16052;21456;26749;27286;31400","33403616;33415020;33421685;33427032;33432336;33432871;33437521;9592;16257;21604;26908;27443;32093","+;+;+;+;+;+;+;+;+;+;+;+;+",3730,"chr21",33402895,33437521,"NM_005534",0,"+",33403543,33436962,0,7,"721,133,206,149,160,158,694,","0,11992,18584,23988,29281,29818,33932,",34626,33402395,33403395,33403895,33437021,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"IFNGR2"
"9654","NM_005534",3249.31174917619,0.901396487537323,0.203208796797616,4.43581430401884,9.17248929827457e-06,0.000296882316769298,"NM_005534",68169,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21_GL383581v2_alt;chr21_GL383581v2_alt;chr21_GL383581v2_alt;chr21_GL383581v2_alt;chr21_GL383581v2_alt;chr21_GL383581v2_alt","33402896;33414888;33421480;33426884;33432177;33432714;33436828;9451;16052;21456;26749;27286;31400","33403616;33415020;33421685;33427032;33432336;33432871;33437521;9592;16257;21604;26908;27443;32093","+;+;+;+;+;+;+;+;+;+;+;+;+",3730,"chr21",33402895,33437521,"NM_005534",0,"+",33403543,33436962,0,7,"721,133,206,149,160,158,694,","0,11992,18584,23988,29281,29818,33932,",34626,33402395,33403395,33403895,33437021,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"IFNGR2"
"9714","NM_005656",6.88878941349412,-1.01457073009048,0.848725024146932,-1.19540569822393,0.231928560430334,0.597625382414319,"NM_005656",68753,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","41464305;41467734;41468396;41470648;41471806;41473325;41476577;41479172;41480476;41488394;41489507;41494356;41498119;41508081","41466153;41467886;41468538;41470743;41471981;41473496;41476620;41479282;41480602;41488513;41489593;41494578;41498189;41508158","-;-;-;-;-;-;-;-;-;-;-;-;-;-",3450,"chr21",41464304,41508158,"NM_005656",0,"-",41466141,41498133,0,14,"1849,153,143,96,176,172,44,111,127,120,87,223,71,78,","0,3429,4091,6343,7501,9020,12272,14867,16171,24089,25202,30051,33814,43776,",43854,41507658,41508658,41464804,41507158,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"TMPRSS2"
"9716","NM_005659",750.220829755328,0.373120201602022,0.175307427233692,2.12837646122453,0.0333058831727587,0.201807245034835,"NM_005659",69415,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","19449911;19454749;19455680;19456587;19456853;19458071;19465202;19467873;19471687;19475068;19475470;19479083","19450744;19454830;19455768;19456634;19456918;19458139;19465274;19468003;19471808;19475100;19475602;19479193","-;-;-;-;-;-;-;-;-;-;-;-",1791,"chr22",19449910,19479193,"NM_005659",0,"-",19450669,19479085,0,12,"834,82,89,48,66,69,73,131,122,33,133,111,","0,4838,5769,6676,6942,8160,15291,17962,21776,25157,25559,29172,",29283,19478693,19479693,19450410,19478193,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"UFD1"
"9750","NM_005740",114.516332676747,0.402315544333598,0.259378549400034,1.55107484895798,0.120883747737712,0.433992560822583,"NM_005740",70060,"chr22;chr22;chr22;chr22","38778508;38780926;38782663;38794068","38779613;38781009;38782870;38794143","-;-;-;-",1474,"chr22",38778507,38794143,"NM_005740",0,"-",38779448,38782731,0,4,"1106,84,208,76,","0,2418,4155,15560,",15636,38793643,38794643,38779007,38793143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"DNAL4"
"9783","NM_005806",0.66012979798905,1.12733695913962,2.79505234564866,0.403333039860475,0.686703238947012,NA,"NM_005806",68622,"chr21;chr21","33025935;33026801","33026026;33029183","+;+",2475,"chr21",33025934,33029183,"NM_005806",0,"+",33026862,33027834,0,2,"92,2383,","0,866,",3249,33025434,33026434,33026934,33028683,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"OLIG2"
"9812","NM_005877",1826.05212692865,0.218203965344268,0.227127151796555,0.960712814906959,0.336696586008174,0.695287108725916,"NM_005877",69787,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","30331988;30335467;30335652;30337026;30337690;30338789;30339130;30340196;30340695;30341692;30342200;30342805;30344933;30346312;30352951;30356730","30334695;30335538;30335753;30337180;30337897;30339034;30339251;30340381;30340812;30341885;30342350;30342879;30345190;30346519;30353072;30356894","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",5090,"chr22",30331987,30356894,"NM_005877",0,"-",30334593,30356792,0,16,"2708,72,102,155,208,246,122,186,118,194,151,75,258,208,122,165,","0,3479,3664,5038,5702,6801,7142,8208,8707,9704,10212,10817,12945,14324,20963,24742,",24907,30356394,30357394,30332487,30355894,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SF3A1"
"9861","NM_005984",746.953239978173,0.261595115002315,0.190226448724863,1.37517740963917,0.169076450070716,0.513773779523245,"NM_005984",69410,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","19175581;19176421;19176578;19176846;19177120;19177727;19177942;19178133;19178580","19176244;19176494;19176693;19176950;19177204;19177865;19178041;19178240;19178736","-;-;-;-;-;-;-;-;-",1548,"chr22",19175580,19178736,"NM_005984",0,"-",19176129,19178673,0,9,"664,74,116,105,85,139,100,108,157,","0,840,997,1265,1539,2146,2361,2552,2999,",3156,19178236,19179236,19176080,19177736,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SLC25A1"
